edad,genero,estrato,semestre,trabaja,horas_estudio_semanal,apoyo_financiero,distancia_km,participacion_extracurricular,promedio_anterior,asistencia_pct,materias_reprobadas,creditos_matriculados,desercion,grupo_estrato
19.0,Masculino,3,8,1,11.1,1,2.9,1,2.86,83.5,0,12,0,Medio (3-4)
19.0,Femenino,4,9,1,11.1,0,0.6,0,3.16,66.2,0,18,1,Medio (3-4)
19.0,Masculino,4,5,1,8.1,0,5.8,0,3.17,71.5,2,20,1,Medio (3-4)
19.0,Masculino,5,9,1,0.0,1,15.0,0,3.2,65.3,2,19,1,Alto (5-6)
18.0,Femenino,4,10,1,20.7,0,0.3,0,3.65,80.1,3,15,1,Medio (3-4)
17.0,Masculino,2,6,0,12.1,1,0.4,1,2.91,74.5,3,13,1,Bajo (1-2)
20.0,Masculino,3,3,0,17.0,0,8.6,0,2.86,65.1,5,16,1,Medio (3-4)
19.0,Masculino,2,1,0,18.1,1,1.3,1,3.56,70.9,1,17,1,Bajo (1-2)
23.0,Femenino,2,8,1,2.4,1,3.1,1,2.65,73.3,3,14,1,Bajo (1-2)
21.0,Femenino,5,6,0,8.5,0,5.1,0,2.94,73.2,1,18,1,Alto (5-6)
21.0,Femenino,4,2,0,23.3,0,3.7,0,3.78,80.5,0,21,0,Medio (3-4)
19.0,Masculino,6,1,1,11.6,1,1.5,0,3.38,73.4,3,13,0,Alto (5-6)
20.0,Masculino,3,10,0,10.5,1,0.2,1,3.21,85.7,3,14,0,Medio (3-4)
21.0,Masculino,3,4,0,13.2,1,13.2,0,3.11,82.5,2,16,0,Medio (3-4)
22.0,Femenino,3,4,0,20.5,1,11.2,0,3.12,85.4,2,13,0,Medio (3-4)
20.0,Femenino,1,7,1,11.0,0,9.7,1,2.79,59.9,3,19,1,Bajo (1-2)
23.0,Masculino,2,4,1,1.4,0,1.0,0,3.09,63.7,0,12,0,Bajo (1-2)
21.0,Femenino,3,10,0,23.8,0,0.8,1,3.46,87.5,2,12,1,Medio (3-4)
22.0,Masculino,1,7,1,17.8,1,1.1,0,2.73,77.1,0,15,0,Bajo (1-2)
19.0,Masculino,5,4,1,6.8,0,29.9,0,3.49,84.8,0,16,1,Alto (5-6)
17.0,Masculino,2,3,0,6.8,0,1.1,0,2.44,62.6,0,19,1,Bajo (1-2)
21.0,Femenino,2,9,0,20.3,1,11.1,1,3.53,77.2,1,13,1,Bajo (1-2)
22.0,Masculino,4,6,1,11.2,0,7.7,0,3.35,72.0,0,19,0,Medio (3-4)
22.0,Masculino,1,10,0,5.3,1,25.4,0,2.84,79.7,2,13,0,Bajo (1-2)
21.0,Masculino,5,4,1,7.3,0,21.1,1,1.69,79.4,0,21,1,Alto (5-6)
20.0,Femenino,4,1,1,26.9,0,2.8,1,4.01,83.7,2,17,0,Medio (3-4)
19.0,Femenino,1,9,0,14.1,0,3.7,0,3.9,76.9,0,19,0,Bajo (1-2)
22.0,Femenino,4,3,0,9.5,1,7.0,0,3.42,91.7,1,12,1,Medio (3-4)
21.0,Femenino,3,9,1,7.4,1,39.2,0,1.87,91.9,2,19,1,Medio (3-4)
19.0,Masculino,4,8,1,22.3,0,48.7,0,4.67,63.8,2,16,1,Medio (3-4)
23.0,Masculino,4,3,0,19.1,0,2.2,0,2.8,78.5,1,17,1,Medio (3-4)
19.0,Masculino,4,8,1,13.9,0,2.6,0,2.69,83.0,1,12,0,Medio (3-4)
19.0,Femenino,3,1,0,15.5,0,28.9,0,3.69,83.9,2,18,0,Medio (3-4)
